GTIN-14,Brand Name,Name,Size,Ingredients,Serving Size,Servings Per Container,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Carbohydrate (g),Fiber (g),Sugars (g),Protein (g),Author,Format,Publisher,Pages,Alcohol By Volume,Images
00381370033875,Clean & Clear,Essentials Foaming Facial Cleanser Sensitive Skin,8 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/e72e30f1-6e2b-4b08-a0f6-d5f58861434e.jpg, https://d2b9vdin3yve6y.cloudfront.net/f630d2de-580e-4faf-a20f-18324d6eb097.jpg"
00071249175446,l'Oreal,EverStrong Hydrate Shampoo,8.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/e32740f2-1026-41ee-bef8-cf184a57feb4.jpg, https://d2b9vdin3yve6y.cloudfront.net/fb33cba4-6d23-41ba-9e5c-8afe3ba5b1ae.jpg"
00071249175453,l'Oreal,EverStrong Hydrate Conditioner,8.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/66acaa8c-b40f-44ea-9e4d-0d9298691a29.jpg, https://d2b9vdin3yve6y.cloudfront.net/87a70975-6ae3-43da-9f43-472398f2da06.jpg"
00049022593756,,Studio 35 Liquid Hand Soap Cucumber Melon,7.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00008080025111,Molton Brown,Re-Charge Black Pepper Body Wash,300 ml,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/2693add3-c7a2-443b-9ca1-0ce4b8442605.jpg, https://d2b9vdin3yve6y.cloudfront.net/14a289d4-bca5-4e2c-a3a0-1823c3c63c6d.jpg"
00024463061095,Sriracha,Hot Chili Sauce,17 oz,,,,,,,,,,,,,,,,,,,,,,,""
00847972000009,,Maldon Sea Salt Flakes,8.5 oz,,1/4 tsp,160,0,,0.0,,0.0,,,,580,,0,,,0,,,,,,""
00099482405502,,365 Organic Extra Virgin Olive Oil,16.9 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00041224705487,Don Bruno,Sherry Vinegar,12.7 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00857190000316,BINOY,Grapeseed Oil,6 kg,100% pure expeller-pressed grapeseed oil,1 tbs,34,120,,14.0,1.0,0.0,,,0,0,,0,,,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/9ce78a02-c8f5-422b-91c2-328182e5963c.jpg, https://d2b9vdin3yve6y.cloudfront.net/ef139e48-f4ee-4b01-aaa4-688f67bd60a9.jpg"
00099482419271,365,Crushed Red Chili Peppers,1.2 oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/c9b3bea5-12f9-46dd-b08b-02f9569d958d.jpg, https://d2b9vdin3yve6y.cloudfront.net/d4d8e4de-2f8a-4115-b5b9-f981fa602028.jpg, https://d2b9vdin3yve6y.cloudfront.net/c0740182-e115-47a5-90d8-2566e6e727da.jpg, https://d2b9vdin3yve6y.cloudfront.net/81307315-ecbd-46eb-b924-14320b36d8ad.jpg, https://d2b9vdin3yve6y.cloudfront.net/af6b4009-ed4a-49c3-bb97-f07912e4cf85.jpg"
00070501027004,Neutrogena,Alcohol-Free Toner,8.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/50b78860-8aed-4d72-aabc-f963651ed6a8.jpg
00036000258448,,Kleenex Tissues,,,,,,,,,,,,,,,,,,,,,,,,""
00036000258493,,Kleenex Tissues,100 ct,,,,,,,,,,,,,,,,,,,,,,,""
00670535001089,,The Art Of Shaving Shaving Cream,1.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00670535241027,,The Art Of Shaving After-Shave Balm,1 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00670535140023,,The Art Of Shaving Pre-Shave Oil,1 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00036600814815,,Chap Stick,.15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00603084243761,Garnier Fructis Style,Pure Clean Finishing Paste,2 oz,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/3f158ce4-193a-4c8c-b264-50e69ebc958e.jpg
00305211793049,Pond's,Dry Skin Cream,10.1 oz,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/3ef60bbd-4e03-45bd-8bea-67534da6db28.jpg
00074887615305,Up & Up,Exfoliating Cucumber Cleansing Towelettes,30 ct,,,,,,,,,,,,,,,,,,,,,,,""
00732708003198,Viano Vineyards,Cabernet Sauvignon,750 ml,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/ffcba21e-28d3-488e-8592-cf2bbd7ca787.jpg
07298880108197,,Kiwi And Apple Infusion,220 g,,,,,,,,,,,,,,,,,,,,,,,""
00042100054163,Hot Shot,Flying Insect Killer,15 oz,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/56a85115-d03b-46fe-9d0a-381234a00c99.jpg
00035000446237,Ajax,Triple Action Dish Liquid,30 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00076950450233,Yogi,Yogi Peach DeTox Tea,16 ct,,,,0,,0.0,0.0,,,,,0,0,0,0,0,0,,,,,,""
00024600010016,Morton,Salt,26 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100050201,McCormick,Pure Ground Black Pepper,2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00013562610020,Annie's,Rice Pasta and Extra Cheesy Cheddar Sauce,11 oz,,3.7 oz,3,320,,4.0,2.0,0.0,,,10,680,,63,2,2,8,,,,,,https://d2b9vdin3yve6y.cloudfront.net/5ac37368-c24b-4f47-99b4-8f35f064b882.jpg
00041390000829,Kikkoman,Gluten-Free Soy Sauce,10 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00077885882007,Tapatio,Hot Sauce,10 fl oz,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/a0786f2a-ada0-41cf-9c31-6ed80ed910df.jpg
00000000599412,Trader Joe's,Organic White Quinoa,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00048001006874,Skippy,Natural Creamy Peanut Butter Spread,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00080000006738,Star,StarKist Chunk Light Tuna In Water,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021130602360,Safeway Kitchens,Basil Leaves,0.62 oz,,,,,,,,,,,,,,,,,,,,,,,""
00050428943397,,CVS Crushed Red Pepper,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100007168,McCormick,Oregano Leaves,.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011194365349,S&W,Crushed Italian Recipe Tomatoes,28 oz,"Tomato puree, tomatoes, salt, oregano, basil, thyme, black pepper, anise, citric acid.",1/4 cup (61 g),About 13,20,,0.0,0.0,0.0,,,0,95,,4,1,2,1,,,,,,""
00081054394277,,Crane Lake Pinot Grigio 2012,750 ml,,,,,,,,,,,,,,,,,,,,,,,""
00000000157919,Trader Joe's,Chicken Drummellas,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00027000490259,Orville Redenbacher's,Light Butter Popcorn,3 ct,,,,,,,,,,,,,,,,,,,,,,,""
00079893107158,Eating Right,Turkey Lasagna,11.25 oz,,,,,,,,,,,,,,,,,,,,,,,""
00000000859097,Trader Joe's,Lowfat Granola Cereal With Almond,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00079893107165,Eating Right,Chicken Teriyaki,8.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00044000000554,,Premium Saltine Crackers Unsalted Top,1 lb,,,,,,,,,,,,,,,,,,,,,,,""
00080686110026,,Skinnygirl White Cranberry Cosmo,750 ml,,,,,,,,,,,,,,,,,,,,,,,""
00000000282857,Trader Joe's,Spicy Jalapeño Chicken Sausage,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00042272005888,,Amy's Spicy Organic Chili,14.7 oz,,,,,,,,,,,,,,,,,,,,,,,""
00099482416317,,365 Organic Vegetable Broth,14 oz,,,,,,,,,,,,,,,,,,,,,,,""
00000000994378,Trader Joe's,Fire Roasted Bell Peppers And Onions,14 oz,,,,,,,,,,,,,,,,,,,,,,,""
00000000934428,Trader Joe's,Bean So Green,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00769650715343,,Vini Cabernet Sauvignon 2009,750 ml,,,,,,,,,,,,,,,,,,,,,,,""
00000000934695,Trader Joe's,Organic Red Quinoa,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
09780312554194,,Where We Belong,,,,,,,,,,,,,,,,,,,,,,,,""
09781400049622,,The Zombie Survival Guide,,,,,,,,,,,,,,,,,,,Max Brooks,Paperback,Three Rivers Press,270,,"https://d2b9vdin3yve6y.cloudfront.net/a15f044c-97bc-479d-8942-e5fa7b37a466.jpg, https://d2b9vdin3yve6y.cloudfront.net/eca89baa-39e2-4909-91a9-7d2bc18e4949.jpg"
00099482434151,,365 Whole Almonds,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
09780307887894,,The Lean Startup,,,,,,,,,,,,,,,,,,,Eric Ries,,,,,""
00037000137474,Tide,Clean Breeze Detergent,"50 fl oz, 32 loads",,,,,,,,,,,,,,,,,,,,,,,""
00024000163190,Del Monte,Mixed Vegetables,14.5 oz,,1/2 cup,About 3.5,40,,0.0,0.0,0.0,,,0,360,,8,2,3,2,,,,,,""
00044700061473,Oscar Mayer,Selects Applewood Smoked Ham,8 oz,,2 oz,About 4,60,,1.0,0.0,0.0,,,30,500,,2,,,10,,,,,,""
09780060566104,,Built To Last: Successful Habits Of Visionary Companies,,,,,,,,,,,,,,,,,,,Jim Collins and Jerry I. Porras,,,,,""
00044387716000,,DeLonghi Triblade Hand Blender,,,,,,,,,,,,,,,,,,,,,,,,""
00761318805441,Revlon,Speed Dryer,,,,,,,,,,,,,,,,,,,,,,,,""
00305215163282,,Q-tips Cotton Swabs,375 ct,,,,,,,,,,,,,,,,,,,,,,,""
00037000800712,Bounce,Outdoor Fresh Dryer Sheets,120 ct,,,,,,,,,,,,,,,,,,,,,,,""
00031600102115,,Kiwi Black Shoe Polish,70 g,,,,,,,,,,,,,,,,,,,,,,,""
00062338057620,,Air Wick 4 In 1 Lavender & Chamomile Air Freshener,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00025700395720,Scrubbing Bubbles,Bathroom Cleaner,22 oz,,,,,,,,,,,,,,,,,,,,,,,""
00099482441159,,365 Toilet Bowl Cleaner,24 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00723830000100,,Lagunitas IPA,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00081308001425,,Big House The Usual Suspect Cabernet Sauvignon,750 ml,,,,,,,,,,,,,,,,,,,,,,,""
00031000307448,Banquet,Brown 'N Serve Original Sausage Links,6.4 oz,,3 links,About 3.5,180,,16.0,5.0,0.0,,,30,410,,2,0,0,7,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/c9695ec9-a037-45c2-9af6-78fdac4e054f.jpg, https://d2b9vdin3yve6y.cloudfront.net/9418093a-30c7-4751-8bd0-8f3ad62e2dac.jpg"
00738435265120,OYO,Whiskey,750 ml,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/78a18ee9-17c7-4472-a604-d3c35733e320.jpg, https://d2b9vdin3yve6y.cloudfront.net/3811f49b-4ce2-4331-8a33-59a4b895fa1d.jpg"
00021130035236,,Lucerne Large Grade AA Eggs,18 eggs,,1 egg,18,70,,5.0,1.0,0.0,,,185,70,,0,0,0,6,,,,,,""
09781591844099,,Linchpin: Are You Indispensable?,,,,,,,,,,,,,,,,,,,Seth Godin,Paperback,Portfolio / Penguin,244,,"https://d2b9vdin3yve6y.cloudfront.net/ff92eadb-0361-4920-89f4-bb18100d9270.jpg, https://d2b9vdin3yve6y.cloudfront.net/133a9f6c-f924-4d5e-b0ca-fa7db73c7104.jpg"
09780307465351,,The 4-Hour Workweek,,,,,,,,,,,,,,,,,,,Timothy Ferriss,Hardcover,Crown,396,,"https://d2b9vdin3yve6y.cloudfront.net/53ad710f-3193-4a72-a328-90e2e0a855c1.jpg, https://d2b9vdin3yve6y.cloudfront.net/b0e6a6bd-2352-424d-9a99-4b61aa49ab0b.jpg"
09780262134729,,The Laws Of Simplicity,,,,,,,,,,,,,,,,,,,John Maeda,Hardcover,The MIT Press,100,,""
09781591840565,,The Art Of The Start,,,,,,,,,,,,,,,,,,,Guy Kawasaki,Hardcover,Portfolio,226,,"https://d2b9vdin3yve6y.cloudfront.net/fa7e25e5-421d-4ae2-a30f-e2ac9108692d.jpg, https://d2b9vdin3yve6y.cloudfront.net/6cc39919-21e4-49fb-93db-bd6c613ba126.jpg"
09780316346627,,The Tipping Point,,,,,,,,,,,,,,,,,,,Malcolm Gladwell,Paperback,Back Bay Books,301,,""
00786162002983,,Vitamin Water Zero Rise Orange,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
09780374166854,,"Hot, Flat, and Crowded",,,,,,,,,,,,,,,,,,,Thomas L. Friedman,Hardcover,"Farrar, Straus And Giroux",438,,""
09781936719280,malária,End Malaria,0,,,,0,,0.0,0.0,,,,,0,0,0,0,0,0,,Paperback,"Do You Zoom, Inc.",208,,""
00841058005261,Edge,Extra Moisturizing Shave Gel,7 oz,,,,,,,,,,,,,,,,,,,,,,,""
00037000004486,Dawn,Apple Blossom Dishwashing Liquid,9 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00099482405434,365,Organic Teriyaki Sauce,10 fl oz,,1 tbsp,20,15,,0.0,,,,,,290,,3,,2,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/e52f2565-0829-4f95-ba17-9f9bce686d3d.jpg, https://d2b9vdin3yve6y.cloudfront.net/5758815d-01ff-4888-b0c1-e820a91fa09e.jpg, https://d2b9vdin3yve6y.cloudfront.net/ca95f333-0c97-4886-b098-c830eda2233c.jpg, https://d2b9vdin3yve6y.cloudfront.net/4e6ee249-84fb-466b-ae6c-ecc528d30ff3.jpg"
00049022554894,,Nice Pure Baking Soda,16 oz,,1/8 tsp,755,0,,0.0,,,,,,160,,0,,,0,,,,,,""
00011110669711,Kroger,Vanilla Extract,2 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/32f7e621-b2f2-42f2-80c3-01d984e397ee.jpg, https://d2b9vdin3yve6y.cloudfront.net/22036113-5fc7-4c3a-824d-1f4c487439c0.jpg"
00099482401115,365 Everyday Value,Aged Balsamic Vinegar,16.9 fl oz,"Wine vinegar, concentrated grape must, cooked grape must.",1 tbsp,About 33,20,,0.0,,0.0,,,,0,,5,,5,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/0ec6afee-b2ee-43b1-9a23-b90a00850284.jpg, https://d2b9vdin3yve6y.cloudfront.net/21f4dfea-0d51-4c20-b594-0ab547bf1efb.jpg, https://d2b9vdin3yve6y.cloudfront.net/965d623c-5071-48a9-858d-ff3e50f7a688.jpg, https://d2b9vdin3yve6y.cloudfront.net/fe087c8f-159f-4a3d-b995-b50e006daa05.jpg"
00076808501063,Barilla,Angel Hair,1 lb,,2 oz,8,200,,1.0,0.0,0.0,,,0,0,,42,2,1,7,,,,,,""
00080000014849,Star,StarKist Solid White Albacore Tuna,3-3 oz cans,"White tuna, water, vegetable broth, salt, pyrophosphate",1 can drained,3,110,,2.0,0.0,0.0,,,40,240,,1,1,0,21,,,,,,""
00019900003202,Clabber Girl,Baking Powder,8.1 oz,,1/8 tsp,About 383,0,,0.0,,,,,,65,,0,,,0,,,,,,""
00019336100100,Purity Farms,Organic Ghee,13 oz,,1 tsp,74,45,,5.0,3.0,0.0,,,10,0,,0,0,0,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/6c0981ce-dcb7-4586-b790-60bc3fcf23e9.jpg, https://d2b9vdin3yve6y.cloudfront.net/bcc4b3f4-1ca5-4bc9-bdef-ab79e47d7bbb.jpg"
00000000378857,Trader Joe's,Roasted And Unsalted Whole Cashews,16 oz,,1/4 cup,About 16,170,,14.0,3.0,0.0,,,0,5,,8,1,2,5,,,,,,""
00757725013005,,Stephen Vincent Cabernet Sauvignon,750 ml,,,,,,,,,,,,,,,,,,,,,,,""
00099482441166,365,Fruit & Vegetable Wash,17 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/dd7421f5-ce61-4b5d-b2c4-4b98eebeb2f1.jpg, https://d2b9vdin3yve6y.cloudfront.net/6dcf0dde-921d-4983-bd1c-06b9824f4912.jpg, https://d2b9vdin3yve6y.cloudfront.net/df769591-4863-495c-817a-4d9f22adeca3.jpg, https://d2b9vdin3yve6y.cloudfront.net/482a8ddf-e902-4a17-a231-b425671761d6.jpg"
00043000043004,,Gevalia Kaffe French Roast Ground Coffee,12 oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/18449b5b-ebcb-485b-b4ef-e315d7028524.jpg, https://d2b9vdin3yve6y.cloudfront.net/5acf4600-1885-4f6f-b4ce-681223c8cd7c.jpg"
00012546304337,Trident,Spearmint Gum,5 sticks,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/d29c7532-95aa-45bd-8ec2-cd2f37dcc476.jpg, https://d2b9vdin3yve6y.cloudfront.net/ddd41762-5c87-4ec2-9226-165c561bb290.jpg"
00011110724687,Kroger,Garlic Salt,13 oz,,1/4 tsp,288,0,,0.0,,,,,,450,,0,,,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/8573d25f-a6a9-425b-a9d2-bfb2e766eb53.jpg, https://d2b9vdin3yve6y.cloudfront.net/08e56107-5988-4706-a9b7-5e2a54fe88ea.jpg, https://d2b9vdin3yve6y.cloudfront.net/d812ca4d-48b0-4091-ad91-7d5aec24c72f.jpg"
00075810021255,San-J,Tamari Gluten Free Soy Sauce,10 fl oz,,1 tbsp,20,10,,0.0,,,,,,980,,1,,,2,,,,,,""
00013600020019,Diamond Crystal,Kosher Salt,48 oz,,,,,,,,,,,,,,,,,,,,,,,""
00000000459136,Trader Joe's,Curry Powder,1.8 oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/766cb6b3-c5c8-460a-b775-cf37aa6fc295.jpg, https://d2b9vdin3yve6y.cloudfront.net/20968622-a2ad-4c5e-a051-6133aec6192d.jpg, https://d2b9vdin3yve6y.cloudfront.net/8cbbd4d8-82fe-4a97-8e91-98dcbce12dfd.jpg"
00851709002143,,Shiloh's Harissa For Dipping,11 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00089836180742,Simply Organic,Italian Seasoning,0.95 oz,,1/4 tsp,90,0,,0.0,0.0,0.0,,,0,0,,0,0,0,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/f93c15b9-1f03-4996-931b-230280831177.jpg, https://d2b9vdin3yve6y.cloudfront.net/623bfb2d-1d6d-4907-8d34-b080e6c42489.jpg, https://d2b9vdin3yve6y.cloudfront.net/e56bc1b4-dc13-4a27-beaf-8faf6e02b17c.jpg, https://d2b9vdin3yve6y.cloudfront.net/d6ea5841-5393-4ee8-9dff-2c06c4e84c98.jpg"
00052100002453,McCormick,Grill Mates Montreal Steak Seasoning,3.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100002323,McCormick,Ground Cinnamon,1 oz,,,,,,,,,,,,,,,,,,,,,,,""
00015800070115,C&H,Pure Cane Sugar Powdered,1 lb,,,,,,,,,,,,,,,,,,,,,,,""
00011110855893,Kroger,Granulated Sugar,32 oz,Granulated sugar,1 teaspoon,About 226,15,,0.0,,,,,,0,,4,,4,0,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/172618c8-5a4b-4639-a320-32c2250be1a3.jpg, https://d2b9vdin3yve6y.cloudfront.net/6d063958-8d61-4657-a58a-190a9723206e.jpg, https://d2b9vdin3yve6y.cloudfront.net/1136b1ed-d19b-45de-9586-dbdebe0ecd40.jpg, https://d2b9vdin3yve6y.cloudfront.net/ce6d2d2a-2d99-476f-8505-cc9dd1c14e10.jpg, https://d2b9vdin3yve6y.cloudfront.net/837afd0d-22ba-4ef2-977c-db3b5f19a1e0.jpg, https://d2b9vdin3yve6y.cloudfront.net/4aa9f43d-bc9a-400c-a4cf-8de04b8f81eb.jpg"
00033200011101,Arm & Hammer,Pure Baking Soda,1 lb,,,,,,,,,,,,,,,,,,,,,,,""
00000000258586,Trader Joe's,Fresh Ginger,4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00899075001254,Fra' Mani,Classic Italian Sausage,12 oz,,1 link,4,220,,19.0,6.0,0.0,,,65,560,,2,,,13,,,,,,""
00764014835521,,Aidells Organic Cajun Style Andouille,12 oz,"Organic chicken, sodium lactate (from beets), sea salt, organic garlic, dried sugar cane syrup, organic spices, organic paprika, celery powder and organic dehydrated onion, in a natural pork casing.",1 link,4,160,,10.0,3.0,0.0,,,90,700,,2,0,2,13,,,,,,""
00813326028630,,Bamboo Bar Board,8 in length x 6 in width,,,,,,,,,,,,,,,,,,,,,,,""
00747599306532,Ghirardelli,Chocolate Squares Dark & Raspberry,5.32 oz,,3 squares,About 3.5,200,,12.0,6.0,1.0,,,0,0,,29,2,24,2,,,,,,""
00017229135550,,Plantronics M20 Bluetooth Headset,,,,,,,,,,,,,,,,,,,,,,,,""
00085464101005,Post,Card,,,,,,,,,,,,,,,,,,,,,,,,""
00043100752141,Mead,Security Envelopes,40 ct,,,,,,,,,,,,,,,,,,,,,,,""
00049022358522,,Penway 1 Subject Notebook Wide Ruled,60 sheets,,,,,,,,,,,,,,,,,,,,,,,""
00074808027354,,Triathlete Magazine,,,,,,,,,,,,,,,,,,,,,,,,""
00070330600171,,BIC Lighter,,,,,,,,,,,,,,,,,,,,,,,,""
09780062018205,,Predictably Irrational: The Hidden Forces That Shape Out Decisions,,,,,,,,,,,,,,,,,,,Dan Ariely,Paperback,Harper,348,,"https://d2b9vdin3yve6y.cloudfront.net/60932c9a-6e39-4f37-adb2-4a886f118b05.jpg, https://d2b9vdin3yve6y.cloudfront.net/5c9b8bac-4826-449a-8a91-92de2ea4aa59.jpg"
09781426203251,,National Geographic Traveler San Francisco,,,,,,,,,,,,,,,,,,,,Paperback,,,,""
09780596156367,,Cloud Application Architectures,,,,,,,,,,,,,,,,,,,George Reese,Paperback,O'Reilly Media,189,,""
09781585421466,,The Artist's Way: A Spiritual Path to Higher Creativity,,,,,,,,,,,,,,,,,,,Julia Cameron,Paperback,Tarcher/Putnam,237,,""
09780984999309,,The Startup Owner's Manual,,,,,,,,,,,,,,,,,,,Steve Blank and Bob Dorf,Hardcover,"K and S Ranch, Inc.",571,,""
09780312425074,,The World Is Flat,,,,,,,,,,,,,,,,,,,Thomas L. Friedman,Paperback,Picador,660,,""
00381370044314,,Band-Aid Flexible Fabric,30 ct,,,,,,,,,,,,,,,,,,,,,,,""
00883484708903,,Pert Plus 2 In 1 Shampoo & Conditioner Classic Clean,25.4 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00017000046495,,Dial For Men Magnetic Body Wash,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00077043104507,,St. Ives Naturally Clear Apricot Scrub,6 oz,,,,,,,,,,,,,,,,,,,,,,,""
