Segment Code,Segment Description,Family Code,Family Description,Class Code,Class Description,Brick Code,Brick Description,Core Attribute Type 1 Code,Core Attribute  Type 1 Description,Core Attribute Type 2 Code,Core Attribute  Type 2 Description,Core Attribute Type 3 Code,Core Attribute  Type 3 Description,Core Attribute Type 4 Code,Core Attribute  Type 4 Description,Core Attribute Type 5 Code,Core Attribute  Type 5 Description,Core Attribute Type 6 Code,Core Attribute  Type 6 Description,Core Attribute Type 7 Code,Core Attribute  Type 7 Description,Core Attribute Type 8 Code,Core Attribute  Type 8 Description,Core Attribute Type 9 Code,Core Attribute  Type 9 Description,Core Attribute Type 10 Code,Core Attribute  Type 10 Description,Core Attribute Type 11 Code,Core Attribute  Type 11 Description,Core Attribute Type 12 Code,Core Attribute  Type 12 Description,Core Attribute Type 13 Code,Core Attribute  Type 13 Description,Core Attribute Type 14 Code,Core Attribute  Type 14 Description,Core Attribute Type 15 Code,Core Attribute  Type 15 Description,Core Attribute Type 16 Code,Core Attribute  Type 16 Description,Core Attribute Type 17 Code,Core Attribute  Type 17 Description,Core Attribute Type 18 Code,Core Attribute  Type 18 Description,Core Attribute Type 19 Code,Core Attribute  Type 19 Description,Core Attribute Type 20 Code,Core Attribute  Type 20 Description,Core Attribute Type 21 Code,Core Attribute  Type 21 Description,Core Attribute Type 22 Code,Core Attribute  Type 22 Description,Core Attribute Type 23 Code,Core Attribute  Type 23 Description,Core Attribute Type 24 Code,Core Attribute  Type 24 Description,Core Attribute Type 25 Code,Core Attribute  Type 25 Description
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011300,Arts/Crafts Variety Packs,10001760,Arts/Crafts Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010600,Basketry Craft Supplies,10001723,Basketry Craft Accessories,20001375,Type of Basketry Craft Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010600,Basketry Craft Supplies,10001721,Basketry Craft Materials,20001373,Type of Basketry Craft Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010600,Basketry Craft Supplies,10001725,Basketry Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010600,Basketry Craft Supplies,10001724,Basketry Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010600,Basketry Craft Supplies,10001722,Basketry Craft Tools (Non Powered),20001374,Type of Basketry Craft Tool (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001736,Candle/Soap Craft Materials,20001382,Type of Candle/Soap Craft Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001737,Candle/Soap Craft Moulds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001741,Candle/Soap Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001740,Candle/Soap Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001738,Candle/Soap Craft Tools (Non Powered),20001384,Type of Candle/Soap Craft Tool (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010900,Candle/Soap Craft Supplies,10001739,Candle/Soap Craft Tools (Powered),20001385,Type of Candle/Soap Craft Tool (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010800,Glasswork/Enamelling/Marquetry Craft Supplies,10001732,Glasswork Craft Tools (Powered),20001380,Type of Glasswork Craft Tool (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010800,Glasswork/Enamelling/Marquetry Craft Supplies,10001731,Glasswork/Enamelling/Marquetry Craft Materials,20001379,Type of Glasswork/Enamelling/Marquetry Craft Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010800,Glasswork/Enamelling/Marquetry Craft Supplies,10001735,Glasswork/Enamelling/Marquetry Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010800,Glasswork/Enamelling/Marquetry Craft Supplies,10001734,Glasswork/Enamelling/Marquetry Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010500,Jewellery Craft Supplies,10001718,Jewellery Craft Accessories,20002029,Type of Jewellery Craft Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010500,Jewellery Craft Supplies,10001717,Jewellery Craft Materials,20001372,Type of Jewellery Craft Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010500,Jewellery Craft Supplies,10001720,Jewellery Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010500,Jewellery Craft Supplies,10001719,Jewellery Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10005713,Foam Craft Materials,20000352,Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001700,Lace/Ribbons/Cords/Braids,20001356,Type of Lace/Ribbon/Cord/Braid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001714,Needlework Accessories,20001371,Type of Needlework Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001699,Needlework Fabrics/Textiles,20001355,Type of Needlework Fabric/Textile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001710,Needlework Fasteners,20001367,Type of Needlework Fastener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001702,Needlework Hand/Machine Tools,20001358,Type of Needlework Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001705,Needlework Marking Equipment,20001361,Type of Fabric Marking Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001712,Needlework Storage,20001369,Type of Needlework Storage Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001713,Needlework Templates,20001370,Type of Needlework Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001701,Needlework Threads,20000794,Type of Material,20001357,Type of Needlework Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001716,Needlework/Toy Making Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001715,Needlework/Toy Making Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001706,Sewing/Knitting Machinery (Non Powered),20001362,Type of Sewing/Knitting Machinery (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001707,Sewing/Knitting Machinery (Powered),20001364,If Computer Controlled,20001363,Type of Sewing/Knitting Machinery (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010400,Needlework/Toy Making Craft Supplies,10001711,Toy Making Accessories,20001368,Type of Toy Making Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010700,Paper/Card Making Craft Supplies,10001726,Paper Craft Tools (Non Powered),20001376,Type of Paper Craft Tool (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010700,Paper/Card Making Craft Supplies,10001730,Paper Craft/Card Making Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010700,Paper/Card Making Craft Supplies,10001729,Paper Craft/Card Making Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010700,Paper/Card Making Craft Supplies,10001727,Paper/Card Making Craft Accessories,20001377,Type of Paper/Card Making Craft Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011100,Printing Craft Supplies,10001753,Printing Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011100,Printing Craft Supplies,10001752,Printing Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011100,Printing Craft Supplies,10001748,Printing Craft Tools,20001389,Type of Printing Craft Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011100,Printing Craft Supplies,10001750,Printing Press (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011100,Printing Craft Supplies,10001749,Printing Press (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001694,Kilns (Powered),20001353,Installation Type,20000787,Power Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001696,Pottery Wheels (Non Powered),20001353,Installation Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001695,Pottery Wheels (Powered),20001354,If With Pedal,20001353,Installation Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001692,Sculptors Tools (Non Powered),20001351,Type of Sculptors Tool (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001693,Sculptors Tools (Powered),20001352,Type of Sculptors Tool (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001691,Sculptors/Pottery Craft Materials,20001350,Type of Sculptors/Pottery Craft Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001698,Sculptors/Pottery Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010300,Sculptors/Pottery Craft Supplies,10001697,Sculptors/Pottery Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001757,Spinning/Weaving Craft – Replacement Parts/Accessories,20001395,Type of Spinning/Weaving Craft Replacement Part/Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001758,Spinning/Weaving Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001759,Spinning/Weaving Craft Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001756,Spinning/Weaving Fibres/Yarns,20001928,Type of Fibre/Yarn,20000794,Type of Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001755,Spinning/Weaving Machines (Non Powered),20001393,Type of Spinning/Weaving Machine (Non Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011200,Spinning/Weaving Craft Supplies,10001754,Spinning/Weaving Machines (Powered),20001392,Type of Spinning/Weaving Machine (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011000,Wood Burning/Engraving Craft Supplies,10001744,Wood Burning/Engraving Craft – Replacement Parts/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011000,Wood Burning/Engraving Craft Supplies,10001746,Wood Burning/Engraving Craft Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011000,Wood Burning/Engraving Craft Supplies,10001743,Wood Burning/Engraving Craft Tools (Non Powered),20001386,Type of Wood Burning/Engraving Craft Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70011000,Wood Burning/Engraving Craft Supplies,10001742,Wood Burning/Engraving Craft Tools (Powered),20000787,Power Source,20001386,Type of Wood Burning/Engraving Craft Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10005726,Analogue/Digital Converters,20002648,Type of Analogue/Digital Converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001467,Audio Headsets,20001116,Corded/Cordless,20002597,Signal Connection,20001211,Type of Audio Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001483,Audio Visual Accessories – Replacement Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001484,Audio Visual Accessories Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001482,Audio Visual Accessories Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001478,Audio Visual Bags/Boxes/Cases/Wallets,20002644,Type of Audio Visual Bag/Case/Wallet,20000794,Type of Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001480,Audio Visual Cleaning Products,20001221,Type of Audio Visual Cleaning Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10005744,Audio Visual Labelling Systems,20002646,Type of Audio Visual Labelling System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001477,Audio Visual Stands/Brackets,20001219,Type of Audio Visual Stand/Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000000,Audio Visual/Photography,68010000,Audio Visual Equipment,68010700,Audio Visual Accessories,10001475,Converter Cassettes,20001217,Type of Converter Cassette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
